player_name,year,hand,rel_height,rel_side,extension,total_pitches,haa_2-Seam/Sinker,haa_4-Seam,haa_Changeup,haa_Curveball,haa_Cutter,haa_Knuckleball,haa_Slider,haa_Splitter,haa_Sweeper,hb_2-Seam/Sinker,hb_4-Seam,hb_Changeup,hb_Curveball,hb_Cutter,hb_Knuckleball,hb_Slider,hb_Splitter,hb_Sweeper,ivb_2-Seam/Sinker,ivb_4-Seam,ivb_Changeup,ivb_Curveball,ivb_Cutter,ivb_Knuckleball,ivb_Slider,ivb_Splitter,ivb_Sweeper,n_2-Seam/Sinker,n_4-Seam,n_Changeup,n_Curveball,n_Cutter,n_Knuckleball,n_Slider,n_Splitter,n_Sweeper,pct_2-Seam/Sinker,pct_4-Seam,pct_Changeup,pct_Curveball,pct_Cutter,pct_Knuckleball,pct_Slider,pct_Splitter,pct_Sweeper,vaa_2-Seam/Sinker,vaa_4-Seam,vaa_Changeup,vaa_Curveball,vaa_Cutter,vaa_Knuckleball,vaa_Slider,vaa_Splitter,vaa_Sweeper,velo_2-Seam/Sinker,velo_4-Seam,velo_Changeup,velo_Curveball,velo_Cutter,velo_Knuckleball,velo_Slider,velo_Splitter,velo_Sweeper
"Arrieta, Jake",2017,R,6.218,-3.554,6.098,2927,-2.229,-2.732,-2.168,-5.079,,,-4.966,,,-14.499,-5.791,-14.525,13.808,,,5.607,,,12.053,16.695,5.306,-10.213,,,6.224,,,1790.0,62.0,239.0,423.0,,,413.0,,,0.612,0.021,0.082,0.145,,,0.141,,,6.142,4.868,7.794,10.141,,,7.387,,,92.204,92.234,87.353,78.884,,,87.96,,
"Arroyo, Bronson",2017,R,5.837,-2.296,5.406,1147,-0.578,-0.349,-1.02,-3.795,-2.123,,-3.82,,,-15.415,-13.6,-11.252,13.693,-6.335,,6.925,,,5.04,12.939,8.808,7.802,17.267,,14.818,,,120.0,270.0,111.0,322.0,86.0,,238.0,,,0.105,0.235,0.097,0.281,0.075,,0.207,,,7.328,6.754,8.007,8.541,6.051,,6.575,,,83.443,84.379,75.729,71.814,84.367,,72.947,,
"Asher, Alec",2017,R,5.814,-2.08,6.201,1067,-0.351,-2.246,0.075,-3.04,-3.516,,,,,-16.331,-4.223,-14.569,6.256,2.455,,,,,13.356,14.537,13.315,-5.976,9.296,,,,,467.0,169.0,89.0,153.0,187.0,,,,,0.438,0.158,0.083,0.143,0.175,,,,,5.808,5.52,6.309,9.534,6.393,,,,,90.719,89.532,82.711,79.131,88.002,,,,
"Astin, Barrett",2017,R,5.681,-1.658,5.87,148,-0.079,,,,,,,,,-14.509,,,,,,,,,8.55,,,,,,,,,75.0,,,,,,,,,0.507,,,,,,,,,6.241,,,,,,,,,91.796,,,,,,,,
"Avilán, Luis",2017,L,6.08,1.653,5.61,826,-0.698,,-0.532,2.554,,,,,,-16.504,,-15.407,9.122,,,,,,13.175,,7.048,-6.396,,,,,,327.0,,408.0,74.0,,,,,,0.396,,0.494,0.09,,,,,,5.911,,7.963,10.1,,,,,,92.786,,84.045,76.424,,,,,
"Axford, John",2017,R,6.334,-1.241,6.463,473,-0.004,-1.295,,-2.317,,,-2.883,,,-14.093,-4.38,,7.121,,,2.556,,,12.609,16.173,,-13.758,,,10.703,,,169.0,151.0,,77.0,,,74.0,,,0.359,0.321,,0.163,,,0.157,,,6.071,5.613,,10.852,,,6.858,,,95.193,95.074,,78.847,,,91.795,,
"Bailey, Homer",2017,R,6.077,-2.483,6.446,1573,-1.148,-1.953,,-3.768,,,-3.354,-1.434,,-13.769,-7.654,,10.729,,,2.016,-9.193,,12.683,16.366,,-5.294,,,7.487,8.153,,272.0,602.0,,68.0,,,329.0,301.0,,0.173,0.383,,0.043,,,0.209,0.191,,6.031,5.35,,9.545,,,7.15,7.43,,93.288,93.636,,78.022,,,87.146,86.349,
"Banda, Anthony",2017,L,6.036,2.196,5.786,418,,1.331,0.412,3.828,,,,,,,-10.899,-13.588,10.605,,,,,,,16.45,9.504,-5.94,,,,,,,265.0,81.0,72.0,,,,,,,0.634,0.194,0.172,,,,,,,5.107,7.316,9.263,,,,,,,93.947,85.325,80.211,,,,,
"Barbato, Johnny",2017,R,5.982,-2.724,5.529,477,-1.466,-2.558,,-3.669,,,-3.063,,,-11.663,-6.157,,8.697,,,1.058,,,14.12,17.366,,-10.276,,,3.33,,,166.0,92.0,,103.0,,,111.0,,,0.348,0.193,,0.216,,,0.233,,,5.417,5.104,,9.638,,,7.219,,,93.978,94.199,,78.416,,,86.383,,
"Barnes, Danny",2017,R,5.572,-1.53,5.672,1053,,-0.477,0.018,,,,,,,,-13.104,-15.41,,,,,,,,17.951,3.683,,,,,,,,698.0,293.0,,,,,,,,0.663,0.278,,,,,,,,4.585,7.975,,,,,,,,92.012,79.471,,,,,,
"Barnes, Jacob",2017,R,5.676,-2.282,6.701,1227,,-2.113,,,-3.329,,,,,,-3.365,,,3.09,,,,,,16.943,,,6.184,,,,,,667.0,,,558.0,,,,,,0.544,,,0.455,,,,,,4.73,,,7.081,,,,,,96.752,,,90.694,,,,
"Barnes, Matt",2017,R,6.693,-1.344,6.513,1202,,-0.797,,-1.854,,,-2.453,,,,-7.179,,2.295,,,3.165,,,,18.719,,-12.785,,,8.187,,,,661.0,,377.0,,,163.0,,,,0.55,,0.314,,,0.136,,,,5.039,,10.709,,,7.16,,,,95.19,,80.876,,,87.955,,
"Barnette, Tony",2017,R,5.504,-1.026,6.433,1033,0.995,-1.021,,-2.898,-2.217,,,,,-14.435,-3.206,,13.14,5.334,,,,,10.084,16.148,,-7.539,7.29,,,,,66.0,253.0,,187.0,479.0,,,,,0.064,0.245,,0.181,0.464,,,,,5.831,4.672,,9.626,6.352,,,,,92.398,93.037,,78.623,88.75,,,,
"Barraclough, Kyle",2017,R,6.069,-2.27,5.879,1150,,-2.051,-0.545,,,,-3.674,,,,-4.797,-11.676,,,,11.644,,,,17.163,9.07,,,,-4.226,,,,624.0,50.0,,,,476.0,,,,0.543,0.043,,,,0.414,,,,5.252,6.937,,,,9.395,,,,94.811,88.624,,,,80.115,,
"Barrett, Jake",2017,R,6.187,-2.022,5.714,471,,-1.237,,,,,-3.101,,,,-8.352,,,,,2.759,,,,15.892,,,,,1.165,,,,322.0,,,,,126.0,,,,0.684,,,,,0.268,,,,5.424,,,,,8.504,,,,95.82,,,,,86.587,,
"Bass, Anthony",2017,R,6.017,-1.511,6.233,111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bastardo, Antonio",2017,L,5.797,2.035,6.021,227,,1.546,,,,,2.725,,,,-4.735,,,,,7.027,,,,21.133,,,,,6.151,,,,155.0,,,,,59.0,,,,0.683,,,,,0.26,,,,4.886,,,,,7.862,,,,90.445,,,,,81.166,,
"Bauer, Trevor",2017,R,5.677,-1.445,5.914,3298,-0.559,-0.851,-0.135,-2.574,-2.859,,,,,-16.482,-9.746,-14.577,7.836,3.716,,,,,13.974,17.997,7.962,-15.96,4.125,,,,,389.0,1235.0,246.0,1005.0,423.0,,,,,0.118,0.374,0.075,0.305,0.128,,,,,5.015,4.358,6.622,10.289,7.139,,,,,93.539,94.117,86.843,78.548,86.325,,,,
"Baumann, Buddy",2017,L,4.743,3.004,6.391,297,2.924,3.672,,,,,4.356,,,-3.064,4.868,,,,,9.112,,,17.468,14.191,,,,,7.216,,,110.0,117.0,,,,,61.0,,,0.37,0.394,,,,,0.205,,,4.179,4.29,,,,,6.13,,,89.729,89.679,,,,,84.42,,
"Beck, Chris",2017,R,6.076,-1.52,6.521,1148,0.576,-0.685,0.396,,,,-2.479,,,-17.119,-10.64,-14.237,,,,2.902,,,9.597,16.189,8.423,,,,4.844,,,93.0,581.0,121.0,,,,353.0,,,0.081,0.506,0.105,,,,0.307,,,5.946,5.086,7.029,,,,7.234,,,94.061,94.636,88.128,,,,86.766,,
